RSSI;ID;COUNT;TIMER;Vbat;Text;Tint;Ax;Ay;Az;Atot;Atot_mps;Gx;Gy;Gz;Mx;My;Mz;Mtot;Roll;Pitch;Heading;Pressure;Height;Vertical_velocity;Vertical_accelration;Vertical_acc_g;Non_grav_force
-69;TRIDENT;1076;494.2;4.06;35.14;38.11;-0.03;1.46;0.49;1.54;15.1074;-149.94;196.32;250.13;-119.05;63.87;-294.18;323.72;72.92;-55.89;124.04;92.67;776.3305292;-8.767988354;0.562507137;0.057340177;9.680623359
-71;TRIDENT;1077;494.66;4.06;35.05;38.11;0;1.2;0.4;1.27;12.4587;-79.76;168.5;250.13;-125.05;94.76;-309.47;346.97;50.61;-61.52;143.01;92.71;772.2755236;-8.815229649;-0.102698468;-0.010468753;9.833620648
-66;TRIDENT;1078;495.12;4.06;34.97;38.12;-0.02;1.47;0.48;1.55;15.2055;-113.91;226.37;250.13;-117.25;66.87;-292.98;322.58;25.05;-61.69;168.38;92.74;769.2054086;-6.67416305;4.654492606;0.474464078;8.739466701
-70;TRIDENT;1079;495.58;4.06;34.88;38.13;-0.08;1.22;0.38;1.28;12.5568;-167.6;167.44;164.02;-126.25;102.56;-331.37;369.13;1.47;-54.07;190.29;92.78;765.1568092;-8.801303013;-4.624217311;-0.471377911;10.87356998
-76;TRIDENT;1080;496.04;4.06;34.8;38.13;-0.09;1.26;0.48;1.35;13.2435;-181.4;-25.88;195.95;-139.14;77.67;-311.57;349.96;-11.38;-46.55;199.24;92.82;761.136495;-8.739813487;0.133672883;0.013626186;9.779255237
-72;TRIDENT;1081;496.49;4.06;34.68;38.13;0.01;1.33;0.52;1.43;14.0283;68.58;-28.41;250.13;-110.06;50.08;-295.98;319.72;-25.57;-44.24;209.29;92.86;757.0211307;-9.14525401;-0.900978939;-0.091842909;10.01722516
-70;TRIDENT;1082;496.95;4.06;34.56;38.13;0.06;1.25;0.38;1.31;12.8511;189.05;250.13;162.87;-136.44;65.07;-305.88;341.19;-30.44;-40.25;221.32;92.9;752.910075;-8.937077534;0.452557555;0.046132269;9.705911762
-69;TRIDENT;1083;497.41;4.06;34.46;38.14;0.01;1.39;0.43;1.46;14.3226;1.27;213.71;250.13;-115.3;48.43;-298.23;323.39;-23.43;-28.5;222.67;92.94;748.8520138;-8.82187221;0.250446357;0.0255297;9.752397338
-68;TRIDENT;1084;497.87;4.06;34.37;38.14;-0.04;1.24;0.39;1.3;12.753;-134.44;203.66;250.13;-126.55;102.86;-324.17;362.88;-25.52;-16.41;228.34;92.98;744.8219806;-8.760941708;0.132457614;0.013502305;9.779534749
-68;TRIDENT;1085;498.33;4.06;34.27;38.14;-0.09;1.39;0.49;1.48;14.5188;-234.92;71.11;191.1;-130.15;74.67;-301.38;336.66;-30.96;-3.84;232.8;93.01;741.7233766;-6.736095614;4.401839335;0.448709412;8.797576953
-77;TRIDENT;1086;498.79;4.06;34.15;38.14;0.02;1.34;0.54;1.44;14.1264;-58.08;113.62;250.13;-110.51;81.12;-294.63;324.96;-39.87;2.97;237.06;93.05;737.6279599;-8.903079895;-4.710835394;-0.480207482;10.89349214
